job,experience,knowledge,salary,location,day of post,rating,number of reviews
Job Opening For Sr. Python Developer - Fully Remote,3-6 Yrs,"Python Framework,Django,Fast API,AWS,NoSQL,Docker,solid fundamental,OOPS",Not disclosed,Remote,1 Day Ago,no rating, - 
Senior Python Developer,5-8 Yrs,"Python,NoSQL,Python Framework,Django,MySQL,MongoDB,React.Js,AWS",Not disclosed,Gurugram,1 Day Ago,3.2,194
Senior Backend Developer (Python - Django),3-8 Yrs,"Github,Django,Rest Api Development,MySQL,Python,Backend,API,Senior",5-15 Lacs PA,Pune(Baner),Today,4.5,25
Python Software Developer,0-1 Yrs,"AWS,Testing,Version Control,Algorithms,MongoDB,Golang,Problem-Solving,PostgreSQL",3.75-6 Lacs PA,Pune,8 Days Ago,no rating, - 
Python Developer,5-10 Yrs,"Python,Azure,django,Git,Async programming,GCP,SVN,Mongo db",Not disclosed,"Hyderabad, Pune, Bengaluru",Just Now,no rating, - 
Python Developer,2-5 Yrs,"Computer science,Automation,Version control,GIT,Debugging,Healthcare,Clinical research,SDLC",Not disclosed,Bengaluru,Just Now,3.6,22
Serverless Architecture + Python Developer,3-8 Yrs,"Python,RDS,Azure,OOPs,DynamoDB,Cloud Application,Cloud Management Platform,Cloud Computing",Not disclosed,Bengaluru,1 Day Ago,no rating, - 
Python Developer - AI & Face Recognition,2-3 Yrs,"Python Api,Python Development,Ai Platform,Python Framework,Opencv,Python,API,Artificial Intelligence",Not disclosed,Bengaluru,1 Day Ago,1.4,4
Python Software Developer,2-4 Yrs,"Django,MySQL,Rest Api,Python,CSS,Django Rest Api,Javascript,HTML",Not disclosed,Bengaluru,7 Days Ago,3.6,51
Python Developer (AWS service+Python)- PAN India,5-9 Yrs,"Aws Lambda,Python,Django,AWS,Flask,Lambda Expressions,Pan,Development",14-24 Lacs PA,"Hybrid - Bengaluru, Mumbai (All Areas), india",Today,3.7,21750
Python Developer,4-9 Yrs,"Linux,Server,Networking,storage,Python,Python Development,Serv,Development",Not disclosed,"Hybrid - Pune, Chennai",1 Day Ago,4.0,144
Python Developer,no mention,"Linux,Server,Storage,Networking,Developer,Python Development,Python,Development",Not disclosed,not mentioned,1 Day Ago,4.0,144
Python Developer Lead,5-10 Yrs,"Ci/Cd,Python,Docker,Development,Continuous Integration,Continuous Integration,Cd",9-19 Lacs PA,Bengaluru,1 Day Ago,5.0,2
Python QA & Python Developer - Chennai (FTF Interview) 5+ years,5-10 Yrs,"python automation,flask,Python,Django,Development,Python Development,Quality assurance,Automation",Not disclosed,Chennai,1 Day Ago,4.0,144
Python Developer Intern,no mention,not mentioned,Unpaid,Remote,Starts in 1-3 months,4.7,4
